"","st_id","op_id","op_date","st_alt","st_dist_source","st_t_jan","st_t_jui","sp_nom","sp_effectif"
"980",186,118,"22/6/1995 00:00:00",33,49,3.9,18.9,"Alburnus alburnus",11
"28038",1326,3576,"12/10/1989 00:00:00",145,NA,4.8,18.7,"Phoxinus phoxinus",618
"30404",1359,3786,"25/9/2000 00:00:00",83,23,4.5,19.8,"Salmo trutta fario",26
"6830",369,792,"3/9/1996 00:00:00",33,470,3.9,19.4,"Alburnus alburnus",7
"32860",1411,3988,"9/9/2005 00:00:00",35,146,5.8,19.7,"Ameiurus melas",117
"4921",450,561,"13/4/2000 00:00:00",58,285,4,20,"Ameiurus melas",3
"10788",242,1314,"4/6/1991 00:00:00",180,95,2.5,18.2,"Chondrostoma nasus",28
"20939",1227,2646,"4/9/1995 00:00:00",113,57,4.2,19.5,"Salmo trutta fario",26
"25671",1107,3288,"8/9/2004 00:00:00",72,14.85,4.4,18.1,"Salmo trutta fario",31
"27015",1377,3483,"3/6/1998 00:00:00",27,19,5.4,20.5,"Rutilus rutilus",134
"21296",828,2695,"22/9/1999 00:00:00",28,27.16,5.5,18.4,"Barbatula barbatula",38
"17092",830,2104,"23/9/1997 00:00:00",155,10.74,5.2,17.7,"Squalius cephalus",8
"39056",1738,4777,"27/9/1995 00:00:00",48,8.34,7.2,17.8,"Barbatula barbatula",26
"29806",1337,3730,"29/8/1984 00:00:00",NA,NA,5,18.7,"Barbus barbus",12
"11540",524,1395,"7/10/2003 00:00:00",50,17,4.1,19.6,"Anguilla anguilla",2
"36661",1830,4474,"24/9/1990 00:00:00",69,20,6.8,18.2,"Petromyzon marinus",1
"33077",1276,4011,"2/7/2004 00:00:00",15,16,6.1,19.8,"Squalius cephalus",7
"18494",1229,2310,"23/8/1991 00:00:00",245,9.4,3.9,18.1,"Gobio gobio",5
"32078",1359,3925,"6/10/1994 00:00:00",83,23,4.5,19.8,"Cottus gobio",8
"19366",963,2440,"1/9/1992 00:00:00",240,5.5,3.6,18.1,"Lampetra planeri",2
"24189",1110,3106,"19/9/2001 00:00:00",104,13.12,3.9,18.5,"Gobio gobio",101
"30751",1427,3815,"2/10/2001 00:00:00",85,95,4.4,19.5,"Gymnocephalus cernuus",1
"39709",1500,4850,"6/9/1995 00:00:00",37,28,7,18.1,"Anguilla anguilla",1
"2459",183,293,"28/5/2002 00:00:00",9,169,4.5,18.4,"Blicca bjoerkna",1
"18366",957,2294,"30/10/1990 00:00:00",66,97,5,18.6,"Squalius cephalus",23
"18488",1199,2309,"23/8/1991 00:00:00",275,4.5,3.7,18,"Perca fluviatilis",19
"39770",1775,4857,"30/9/1997 00:00:00",45,20,5.8,18.6,"Rutilus rutilus",3
"33793",1366,4066,"18/9/2007 00:00:00",123,67,4.7,18.9,"Gobio gobio",40
"34963",1770,4226,"27/5/1986 00:00:00",5,74,6.2,18.6,"Blicca bjoerkna",2
"30460",1381,3790,"13/9/2000 00:00:00",13,893,5.9,20.2,"Alburnoides bipunctatus",3
"24972",1110,3202,"15/9/1999 00:00:00",104,13.12,3.9,18.5,"Rutilus rutilus",40
"15390",257,1858,"18/9/2007 00:00:00",60,152,3.3,19,"Anguilla anguilla",5
"37817",1847,4610,"12/9/1994 00:00:00",152,8,6.4,17.6,"Phoxinus phoxinus",186
"28776",1442,3635,"11/6/1997 00:00:00",27,19,6.5,20.1,"Scardinius erythrophthalmus",3
"34066",1383,4088,"6/9/2007 00:00:00",19,92,5.9,19.9,"Lepomis gibbosus",27
"39896",1845,4872,"18/9/1995 00:00:00",94,26,6.8,18,"Anguilla anguilla",43
"16620",1208,2033,"15/9/1997 00:00:00",225,6.55,3.8,18.3,"Lampetra planeri",33
"24846",1105,3183,"8/9/2004 00:00:00",57,25,4.4,18.3,"Anguilla anguilla",44
"38571",1507,4714,"27/9/1990 00:00:00",114,14,6.5,17.5,"Cottus gobio",10
"1495",678,179,"28/9/2000 00:00:00",44,18,4,19.2,"Squalius cephalus",26
"15665",1195,1890,"21/8/1997 00:00:00",180,8.1,4.4,18.2,"Barbatula barbatula",7
"11847",662,1432,"17/6/2004 00:00:00",35,493,4.5,20.3,"Rutilus rutilus",30
"27154",1378,3495,"10/6/1997 00:00:00",122,66,5,19.8,"Rhodeus amarus",5
"6757",374,786,"9/11/1995 00:00:00",34,25,4,19.4,"Alburnoides bipunctatus",11
"39835",1689,4864,"19/6/1996 00:00:00",5,135,6.6,19.4,"Ameiurus melas",6
"4198",38,488,"17/5/2001 00:00:00",16,79,4,18.4,"Leuciscus leuciscus",1
"29952",1351,3743,"10/7/1990 00:00:00",25,250,5.6,19.7,"Tinca tinca",5
"32235",1266,3937,"22/8/2002 00:00:00",10,24,5.9,20.1,"Gymnocephalus cernuus",20
"23512",938,2982,"26/6/2007 00:00:00",3,32.7,5.9,17.7,"Gobio gobio",14
"25365",859,3256,"7/10/1997 00:00:00",22,80,4.3,19.3,"Gasterosteus aculeatus",1
"7614",655,882,"10/10/1991 00:00:00",NA,NA,4,19.6,"Barbatula barbatula",2
"34468",1619,4145,"27/9/1988 00:00:00",46,13,7.1,17.4,"Salmo trutta fario",2
"21055",1018,2664,"5/9/1994 00:00:00",63,35.42,5.1,18.5,"Salmo salar",2
"195",677,30,"13/6/1996 00:00:00",24,300,4.1,19.5,"Anguilla anguilla",8
"12035",62,1452,"16/6/2005 00:00:00",NA,NA,3.9,18.8,"Rutilus rutilus",14
"39612",1775,4835,"13/10/1994 00:00:00",45,20,5.8,18.6,"Rutilus rutilus",5
"21383",1018,2706,"15/9/1999 00:00:00",63,35.42,5.1,18.5,"Cottus gobio",201
"17362",996,2149,"19/9/1988 00:00:00",28,11.5,6,18.1,"Salmo trutta fario",1
"26283",1109,3389,"5/9/2007 00:00:00",4,20.31,5,18.2,"Lampetra planeri",4
"15694",1229,1895,"26/8/1997 00:00:00",245,9.4,3.9,18.1,"Barbatula barbatula",27
"25965",779,3339,"30/9/2004 00:00:00",9,610.5,4.3,19,"Anguilla anguilla",20
"35903",1689,4382,"18/6/1991 00:00:00",5,135,6.6,19.4,"Ameiurus melas",19
"36535",1878,4462,"19/10/1988 00:00:00",68,2,6.8,18.4,"Cottus gobio",183
"13722",622,1639,"21/6/2006 00:00:00",38,483,4.4,20.1,"Squalius cephalus",80
"9377",286,1138,"9/9/1986 00:00:00",170,28,2.8,18.6,"Cottus gobio",123
"30862",1287,3821,"14/9/2001 00:00:00",17,308,5.8,20.2,"Leuciscus leuciscus",1
"8260",77,959,"10/5/1988 00:00:00",NA,NA,3.5,18.6,"Perca fluviatilis",10
"32645",1439,3968,"17/6/2004 00:00:00",120,6,4.8,20,"Lampetra planeri",12
"1648",576,206,"2/2/1989 00:00:00",37,76,4.2,20.1,"Esox lucius",2
"13878",245,1655,"20/6/2006 00:00:00",41,52,3.8,19.3,"Perca fluviatilis",4
"20327",877,2567,"1/10/1998 00:00:00",5,52.03,6,17.7,"Abramis brama",8
"21945",826,2779,"13/9/2002 00:00:00",68,51.12,4.7,18.4,"Lampetra planeri",1
"23706",1109,3024,"2/11/1995 00:00:00",4,20.31,5,18.2,"Salmo trutta fario",2
"13373",648,1601,"19/10/2006 00:00:00",47,83,4.1,20,"Rutilus rutilus",34
"24978",1111,3203,"16/9/1999 00:00:00",56,27,4.1,18.6,"Anguilla anguilla",23
"14144",375,1697,"6/9/2006 00:00:00",34,25,4,19.4,"Cottus gobio",122
"37545",1838,4580,"29/10/1987 00:00:00",54,7,6.7,18.6,"Barbatula barbatula",131
"1264",635,155,"31/5/1990 00:00:00",NA,NA,3.6,18.7,"Anguilla anguilla",29
"17001",831,2088,"19/10/1992 00:00:00",88,14,5.4,18,"Barbatula barbatula",80
"385",517,52,"6/11/1986 00:00:00",NA,477,4.5,20,"Squalius cephalus",14
"19731",1018,2488,"1/9/1993 00:00:00",63,35.42,5.1,18.5,"Anguilla anguilla",115
"416",515,56,"19/9/1995 00:00:00",17,544,4.4,19.4,"Alburnus alburnus",2
"151",677,22,"6/9/1995 00:00:00",24,300,4.1,19.5,"Lota lota",2
"16758",737,2050,"26/6/1985 00:00:00",5,80,5.6,18.4,"Perca fluviatilis",10
"12150",451,1467,"9/9/2004 00:00:00",57,109,3.8,20,"Gobio gobio",13
"29369",1297,3684,"3/9/1986 00:00:00",100,11,5.2,20,"Perca fluviatilis",470
"37496",1872,4574,"1/10/1987 00:00:00",9,52,6.8,19.1,"Phoxinus phoxinus",54
"18359",956,2293,"29/10/1990 00:00:00",64,99,5.1,18.6,"Perca fluviatilis",2
"15739",715,1901,"20/10/1983 00:00:00",42,6.8,5,18.4,"Cottus gobio",20
"11598",133,1406,"15/9/2004 00:00:00",19,54,4.3,18.2,"Anguilla anguilla",30
"22768",899,2884,"5/9/2007 00:00:00",45,29.16,5.9,18,"Phoxinus phoxinus",58
"28595",1330,3621,"1/9/1998 00:00:00",34,57,5.9,19.7,"Anguilla anguilla",4
"26972",1266,3479,"15/9/1998 00:00:00",10,24,5.9,20.1,"Phoxinus phoxinus",56
"23979",1165,3070,"10/10/1997 00:00:00",19,34,4.7,18.2,"Salmo trutta fario",30
"13786",614,1645,"8/6/2006 00:00:00",29,428,4.8,20.7,"Rutilus rutilus",16
"30078",1356,3757,"31/8/1982 00:00:00",NA,NA,4.8,20,"Barbatula barbatula",1
"6471",396,736,"19/11/1985 00:00:00",NA,NA,3.8,19.4,"Perca fluviatilis",14
"27994",1322,3572,"27/10/1988 00:00:00",40,12,5.4,19.6,"Squalius cephalus",17
"39488",1692,4824,"17/6/1997 00:00:00",39,43,6.1,19.1,"Leuciscus leuciscus",54
"25613",782,3281,"19/9/2002 00:00:00",51,201.1,4.4,19,"Gobio gobio",2
"1281",670,157,"29/7/1992 00:00:00",NA,NA,3.7,18.8,"Anguilla anguilla",3
"16959",749,2082,"4/9/1991 00:00:00",25,23,5.1,18.4,"Salmo trutta fario",97
"11024",241,1335,"23/9/1997 00:00:00",60,356,3.6,19.8,"Lepomis gibbosus",12
"6712",391,780,"21/4/1992 00:00:00",68,14,3.7,19.4,"Barbatula barbatula",6
"34524",1627,4157,"5/10/1989 00:00:00",48,21,6.9,17.4,"Anguilla anguilla",29
"4973",452,565,"7/6/2000 00:00:00",63,88,3.7,19.6,"Phoxinus phoxinus",135
"26293",785,3391,"12/9/2007 00:00:00",NA,NA,4.6,18,"Gobio gobio",1
"39599",1689,4834,"23/9/1997 00:00:00",5,135,6.6,19.4,"Ameiurus melas",5
"8880",616,1049,"25/4/2002 00:00:00",33,500,4.5,20.2,"Anguilla anguilla",21
"1500",678,179,"28/9/2000 00:00:00",44,18,4,19.2,"Tinca tinca",2
"11696",335,1416,"7/10/2004 00:00:00",70,6,3.5,19.7,"Cottus gobio",120
"10631",514,1291,"7/4/1999 00:00:00",80,13,3.9,19.6,"Blicca bjoerkna",10
"34220",1419,4101,"15/5/2007 00:00:00",98,13,5.2,18.8,"Cottus gobio",102
"39499",1699,4825,"18/6/1997 00:00:00",15,56,6.5,19.3,"Lepomis gibbosus",6
"8802",619,1040,"21/6/2001 00:00:00",38,489,4.4,20.1,"Barbatula barbatula",2
"17975",1234,2239,"2/9/1986 00:00:00",200,9,4.2,18,"Lampetra planeri",6
"36322",1804,4433,"12/9/1985 00:00:00",42,25,6.9,18.5,"Salmo trutta fario",37
"31828",1442,3904,"22/6/2000 00:00:00",27,19,6.5,20.1,"Leucaspius delineatus",4
"34710",1561,4191,"18/8/1992 00:00:00",35,8,7.4,18.2,"Cottus gobio",40
"31460",1420,3870,"4/10/1989 00:00:00",33,NA,5.5,19.6,"Rutilus rutilus",852
"31273",1378,3854,"17/6/2003 00:00:00",122,66,5,19.8,"Sander lucioperca",6
"3341",425,396,"12/9/1989 00:00:00",130,45,3,19.3,"Barbatula barbatula",35
"28854",1427,3641,"9/10/1997 00:00:00",85,95,4.4,19.5,"Carassius carassius",1
"14381",522,1719,"5/7/2007 00:00:00",24,480,4.5,19.9,"Anguilla anguilla",62
"1470",676,177,"4/5/2000 00:00:00",33,26,4,19.6,"Gobio gobio",20
"34753",1475,4198,"7/9/1994 00:00:00",80,14,6.5,18.2,"Perca fluviatilis",1
"8323",110,976,"5/7/1988 00:00:00",82,NA,3.9,17.9,"Anguilla anguilla",3
"27299",1381,3506,"11/9/1997 00:00:00",13,893,5.9,20.2,"Squalius cephalus",181
"3560",449,420,"25/9/1996 00:00:00",47,305,3.9,20.2,"Abramis brama",2
"12439",186,1494,"15/6/2004 00:00:00",33,49,3.9,18.9,"Alburnus alburnus",1
"36484",1832,4455,"5/5/1988 00:00:00",73,9,6.6,18.4,"Perca fluviatilis",1
"36584",1883,4468,"11/9/1989 00:00:00",35,15,7,18.5,"Rutilus rutilus",7
"35596",1760,4343,"7/6/1983 00:00:00",25,60,6.3,19.3,"Sander lucioperca",1
"6647",393,767,"5/7/1990 00:00:00",NA,NA,4.1,19.6,"Pungitius pungitius",1
"17186",882,2117,"7/9/1983 00:00:00",16,35,6.1,18.5,"Cottus gobio",4
"31821",1442,3904,"22/6/2000 00:00:00",27,19,6.5,20.1,"Squalius cephalus",36
"7425",662,857,"29/5/1996 00:00:00",35,493,4.5,20.3,"Perca fluviatilis",9
"30021",1353,3752,"5/10/1982 00:00:00",NA,NA,6.6,19.8,"Anguilla anguilla",1
"16171",725,1968,"5/9/1997 00:00:00",243,4.83,4.7,17.4,"Cottus gobio",53
"1484",677,178,"4/5/2000 00:00:00",24,300,4.1,19.5,"Rutilus rutilus",262
"33127",1427,4014,"12/10/2004 00:00:00",85,95,4.4,19.5,"Phoxinus phoxinus",97
"5776",371,666,"11/6/1997 00:00:00",40,37,3.9,19.5,"Perca fluviatilis",10
"13944",567,1667,"19/9/2006 00:00:00",NA,NA,4,18.2,"Lampetra planeri",1
"30602",1378,3804,"9/8/1994 00:00:00",122,66,5,19.8,"Anguilla anguilla",10
"31006",1266,3833,"17/10/2001 00:00:00",10,24,5.9,20.1,"Rutilus rutilus",201
"14912",199,1794,"31/5/2007 00:00:00",34,12,4.1,18.7,"Lampetra planeri",1
"30833",1381,3820,"13/9/2001 00:00:00",13,893,5.9,20.2,"Rutilus rutilus",689
"17449",899,2163,"10/10/1990 00:00:00",45,29.16,5.9,18,"Leuciscus leuciscus",28
"16212",879,1975,"3/7/1985 00:00:00",25,12,6,18.6,"Cottus gobio",25
"3195",417,380,"18/4/1990 00:00:00",NA,NA,3.7,19.9,"Tinca tinca",1
"35614",1763,4346,"8/6/1983 00:00:00",33,31.92,6.2,19,"Alburnus alburnus",2
"13901",611,1657,"19/10/2006 00:00:00",45,80,4.1,20.1,"Cobitis taenia",1
"4037",46,474,"25/6/1997 00:00:00",137,17,2.9,18.5,"Squalius cephalus",1
"4285",432,499,"23/9/1992 00:00:00",85,4,3.6,19.9,"Cottus gobio",67
"16657",1018,2037,"4/11/1997 00:00:00",63,35.42,5.1,18.5,"Salmo trutta fario",11
"35729",1692,4358,"14/6/1983 00:00:00",39,43,6.1,19.1,"Perca fluviatilis",13
"27986",1398,3570,"3/11/1988 00:00:00",118,14.9,4.8,18.5,"Gobio gobio",60
"35455",1585,4318,"26/9/1991 00:00:00",81,24,7,17.5,"Anguilla anguilla",16
"13358",610,1600,"17/10/2006 00:00:00",52,70,4.1,19.9,"Cottus gobio",3
"3442",495,406,"19/10/1989 00:00:00",40,5,4.1,20.3,"Rutilus rutilus",160
"27617",1435,3533,"21/10/1999 00:00:00",25,238,5.7,19.8,"Lepomis gibbosus",9
"34599",1561,4171,"12/10/1990 00:00:00",35,8,7.4,18.2,"Salmo trutta fario",132
"24576",860,3157,"9/10/1996 00:00:00",32,110,4.8,18.6,"Salmo trutta fario",15
"27560",1381,3529,"15/9/1999 00:00:00",13,893,5.9,20.2,"Gobio gobio",121
"16526",927,2017,"25/10/1989 00:00:00",10,3,6.7,17.1,"Anguilla anguilla",60
"23507",938,2982,"26/6/2007 00:00:00",3,32.7,5.9,17.7,"Alburnus alburnus",8
"23410",1223,2969,"28/8/2007 00:00:00",122,19.62,4.1,19.4,"Phoxinus phoxinus",100
"29288",1293,3677,"25/6/1986 00:00:00",18,66,5.7,20.3,"Squalius cephalus",20
"7466",662,862,"12/9/1996 00:00:00",35,493,4.5,20.3,"Rutilus rutilus",8
"11150",3,1346,"22/4/1998 00:00:00",70,NA,3.5,18.8,"Tinca tinca",3
"9223",137,1108,"14/5/1998 00:00:00",45,41,3.6,18.6,"Blicca bjoerkna",5
"18916",1201,2370,"24/9/1986 00:00:00",150,8.5,4.2,18.8,"Gobio gobio",9
"14932",262,1796,"9/5/2007 00:00:00",210,14.2,2.6,18.3,"Abramis brama",4
"12362",676,1485,"2/9/2004 00:00:00",33,26,4,19.6,"Rhodeus amarus",21
"39491",1699,4825,"18/6/1997 00:00:00",15,56,6.5,19.3,"Anguilla anguilla",45
"24858",1110,3184,"10/9/2004 00:00:00",104,13.12,3.9,18.5,"Barbatula barbatula",95
"24040",1108,3078,"13/10/1998 00:00:00",27,3.7,5.1,18.1,"Cottus gobio",52
"38122",1500,4654,"3/10/1991 00:00:00",37,28,7,18.1,"Anguilla anguilla",1
"25849",869,3321,"6/9/2006 00:00:00",NA,NA,4.9,18.4,"Anguilla anguilla",3
"11676",374,1414,"15/9/2004 00:00:00",34,25,4,19.4,"Gobio gobio",6
"34100",1388,4091,"19/6/2007 00:00:00",22,51,5.7,20.3,"Rhodeus amarus",32
"15865",821,1926,"18/10/1989 00:00:00",39,21.8,5,18.4,"Cottus gobio",27
"11809",371,1428,"6/7/2004 00:00:00",40,37,3.9,19.5,"Rutilus rutilus",131
"17229",896,2124,"14/9/1987 00:00:00",18,5,6.2,18.6,"Anguilla anguilla",102
"27234",1308,3502,"10/9/1997 00:00:00",63,17,5.4,20.2,"Cyprinus carpio",1
"35827",1775,4371,"4/10/1990 00:00:00",45,20,5.8,18.6,"Cottus gobio",1
"10039",241,1232,"24/9/1996 00:00:00",60,356,3.6,19.8,"Cyprinus carpio",1
"14588",154,1751,"12/9/2006 00:00:00",NA,NA,4.2,17.9,"Salmo trutta fario",5
"28424",1438,3607,"9/10/1996 00:00:00",54,42,5,19.6,"Sander lucioperca",1
"6418",615,728,"7/4/1993 00:00:00",23,460,4.6,20.3,"Cyprinus carpio",1
"16280",811,1983,"17/6/1987 00:00:00",4,59.2,5.9,17.8,"Tinca tinca",2
"34787",1458,4202,"1/9/1994 00:00:00",25,36,7.2,17.6,"Salmo salar",39
"14295",622,1711,"26/6/2007 00:00:00",38,483,4.4,20.1,"Chondrostoma nasus",21
"3227",484,384,"20/3/1986 00:00:00",NA,NA,3.9,20.1,"Lota lota",1
"21284",704,2694,"21/9/1999 00:00:00",40,43.16,4.9,18.4,"Anguilla anguilla",24
"36792",1844,4491,"9/9/1992 00:00:00",6,44,7.4,18.5,"Lampetra planeri",26
"29025",1439,3655,"23/6/1999 00:00:00",120,6,4.8,20,"Salmo trutta fario",21
"32463",1287,3954,"9/9/2003 00:00:00",17,308,5.8,20.2,"Abramis brama",5
"37019",1756,4514,"20/9/1994 00:00:00",135,4,4.9,18.4,"Lampetra planeri",1
"36346",1808,4437,"2/10/1985 00:00:00",54,3,6.9,18.4,"Cottus gobio",35
"15017",163,1805,"17/9/2007 00:00:00",NA,NA,3.5,18.6,"Pungitius pungitius",17
"17949",1210,2236,"11/9/1986 00:00:00",150,19,4,18.7,"Barbatula barbatula",2
"17692",1018,2198,"7/9/1984 00:00:00",63,35.42,5.1,18.5,"Anguilla anguilla",109
"7781",616,903,"14/9/1995 00:00:00",33,500,4.5,20.2,"Scardinius erythrophthalmus",52
"16380",990,1998,"8/6/1988 00:00:00",2,18,5.9,18,"Gobio gobio",98
"34535",1646,4159,"18/8/1989 00:00:00",25,6,7.1,17.5,"Cottus gobio",21
"29779",1334,3726,"24/10/1989 00:00:00",43,NA,5.3,19.6,"Scardinius erythrophthalmus",1
"36849",1867,4496,"8/9/1992 00:00:00",45,13,6.8,18.6,"Phoxinus phoxinus",134
"11108",245,1343,"11/6/1998 00:00:00",41,52,3.8,19.3,"Esox lucius",1
"9703",217,1180,"28/4/1988 00:00:00",40,NA,3.9,19.5,"Chondrostoma nasus",6
"36126",1779,4410,"27/9/1993 00:00:00",120,4.11,4.9,18.5,"Squalius cephalus",2
"31305",1441,3857,"18/6/2003 00:00:00",3,62,6.2,20.8,"Rutilus rutilus",64
"22423",1226,2843,"7/9/2006 00:00:00",171,15.89,4.4,18.2,"Lampetra planeri",4
"31521",1424,3874,"18/9/1990 00:00:00",NA,135,4.7,19.7,"Sander lucioperca",5
"8826",614,1043,"27/6/2001 00:00:00",29,428,4.8,20.7,"Squalius cephalus",8
"12282",42,1478,"2/9/2004 00:00:00",138,39,3,18.5,"Rhodeus amarus",4
"26276",1108,3388,"5/9/2007 00:00:00",27,3.7,5.1,18.1,"Gasterosteus aculeatus",8
"13773",661,1643,"14/6/2006 00:00:00",29,411,4.5,20.4,"Perca fluviatilis",24
"22966",725,2916,"27/8/2004 00:00:00",243,4.83,4.7,17.4,"Cottus gobio",171
"2682",40,323,"19/10/1994 00:00:00",146,13,2.9,18.4,"Rutilus rutilus",312
"31209",1274,3849,"2/7/2003 00:00:00",11,32.8,6.4,19.6,"Rutilus rutilus",89
"35181",1564,4257,"10/10/1985 00:00:00",117,13,6.8,17.3,"Oncorhynchus mykiss",1
"33868",1451,4071,"14/6/2007 00:00:00",62,9.8,5.2,20.4,"Carassius carassius",1
"2489",564,296,"5/9/2002 00:00:00",30,52,4.4,18.3,"Anguilla anguilla",25
"5225",451,591,"17/9/2003 00:00:00",57,109,3.8,20,"Blicca bjoerkna",1
"13508",615,1615,"9/6/2005 00:00:00",23,460,4.6,20.3,"Abramis brama",3
"9635",208,1171,"26/4/1988 00:00:00",64,NA,3.5,19.6,"Anguilla anguilla",1
"4296",419,500,"17/3/1993 00:00:00",NA,NA,3.9,20.1,"Barbatula barbatula",58
"33903",1386,4074,"18/6/2007 00:00:00",31,67,5.5,20.5,"Ameiurus melas",8
"12210",505,1471,"22/6/2004 00:00:00",NA,NA,3.8,19.6,"Rutilus rutilus",17
"8844",615,1044,"27/6/2001 00:00:00",23,460,4.6,20.3,"Leuciscus leuciscus",81
"29854",1409,3734,"14/10/1992 00:00:00",180,12,4.4,18.4,"Barbatula barbatula",74
"25332",779,3252,"4/6/1997 00:00:00",9,610.5,4.3,19,"Perca fluviatilis",1
"12184",450,1469,"8/9/2004 00:00:00",58,285,4,20,"Lepomis gibbosus",1
"20425",877,2578,"14/10/1999 00:00:00",5,52.03,6,17.7,"Abramis brama",42
"16876",831,2069,"2/10/1990 00:00:00",88,14,5.4,18,"Barbatula barbatula",189
"6988",369,807,"24/5/2000 00:00:00",33,470,3.9,19.4,"Cottus gobio",3
"6732",394,783,"22/4/1992 00:00:00",NA,NA,3.6,19,"Pungitius pungitius",89
"27819",1305,3553,"19/10/1990 00:00:00",NA,NA,5.4,19.9,"Anguilla anguilla",60
"38087",1529,4648,"5/9/1989 00:00:00",20,24,7.2,17.7,"Phoxinus phoxinus",149
"20921",1018,2645,"1/9/1995 00:00:00",63,35.42,5.1,18.5,"Cottus gobio",101
"24183",1105,3105,"18/9/2001 00:00:00",57,25,4.4,18.3,"Salmo trutta fario",14
"11726",372,1420,"14/9/2004 00:00:00",62,15,4,19,"Leuciscus leuciscus",2
"4787",454,551,"24/9/1998 00:00:00",41,454,4,19.7,"Barbus barbus",39
"37883",1496,4620,"22/8/1983 00:00:00",31,19,6.9,18.4,"Cottus gobio",10
"14711",368,1770,"4/7/2006 00:00:00",34,347,3.9,19.4,"Perca fluviatilis",56
"18442",976,2303,"13/9/1991 00:00:00",96,15,5.1,18.4,"Phoxinus phoxinus",87
"22281",941,2825,"31/8/2005 00:00:00",176,15.76,3.8,18,"Salmo trutta fario",67
"3328",480,394,"13/9/1989 00:00:00",60,13,3.8,20,"Pungitius pungitius",6
"12421",44,1492,"6/10/2004 00:00:00",20,68,3.8,18.9,"Gasterosteus aculeatus",34
"28249",1359,3594,"12/10/1995 00:00:00",83,23,4.5,19.8,"Salmo trutta fario",34
"16392",991,1999,"8/6/1988 00:00:00",40,6,5.8,18,"Lampetra planeri",1
"25086",838,3221,"28/8/1984 00:00:00",NA,114,4.7,19.2,"Gasterosteus aculeatus",30
"4737",504,546,"24/7/1996 00:00:00",38,400,4.3,19.9,"Gobio gobio",3
"17210",893,2121,"22/9/1987 00:00:00",28,12,6,18.6,"Barbatula barbatula",37
"23361",1042,2965,"18/9/2007 00:00:00",209,7.2,4.2,18.2,"Cottus gobio",2
"12700",4,1526,"21/6/2005 00:00:00",70,26,3.5,18.7,"Esox lucius",3
"4516",444,527,"26/10/1989 00:00:00",60,53,3.8,19.6,"Blicca bjoerkna",1
"20210",1223,2550,"8/9/1998 00:00:00",122,19.62,4.1,19.4,"Squalius cephalus",1
"15085",200,1813,"29/8/2007 00:00:00",33,32,4,18.8,"Lampetra planeri",1
"34347",1591,4123,"1/9/1987 00:00:00",70,16,7.1,17.9,"Salmo trutta fario",38
"18727",952,2344,"18/9/1984 00:00:00",195,9.2,3.7,18.2,"Barbatula barbatula",98
"37500",1873,4575,"29/9/1987 00:00:00",90,3,6.5,18.3,"Cottus gobio",65
"8910",614,1052,"15/5/2002 00:00:00",29,428,4.8,20.7,"Leuciscus leuciscus",1
"37427",1866,4567,"16/9/1986 00:00:00",56,13,6.7,18.4,"Rutilus rutilus",20
"320",676,44,"4/9/2003 00:00:00",33,26,4,19.6,"Anguilla anguilla",25
"39090",1699,4782,"25/9/1996 00:00:00",15,56,6.5,19.3,"Gobio gobio",63
"18479",1243,2308,"23/8/1991 00:00:00",185,7.4,4.4,18.3,"Tinca tinca",4
"3500",446,414,"16/6/1994 00:00:00",NA,NA,3,19.2,"Leuciscus leuciscus",8
"7654",622,888,"9/10/1991 00:00:00",38,483,4.4,20.1,"Abramis brama",29
"5637",371,652,"14/6/1995 00:00:00",40,37,3.9,19.5,"Carassius carassius",1
"1611",513,199,"20/11/1990 00:00:00",NA,NA,4.2,19.4,"Scardinius erythrophthalmus",1
"38159",1535,4658,"2/10/1991 00:00:00",125,10,6.6,17.4,"Phoxinus phoxinus",80
"23076",828,2931,"27/9/2005 00:00:00",28,27.16,5.5,18.4,"Gobio gobio",1
"27794",1303,3550,"10/9/1986 00:00:00",27,14,6.5,20.1,"Phoxinus phoxinus",4
"32771",1445,3980,"20/9/2005 00:00:00",55,5,5.4,20.4,"Barbatula barbatula",3
"15014",162,1804,"14/9/2007 00:00:00",NA,NA,3.5,18.6,"Abramis brama",6
"5188",451,586,"22/5/2002 00:00:00",57,109,3.8,20,"Tinca tinca",1
"9553",223,1160,"26/5/1988 00:00:00",46,48,3.8,19.3,"Perca fluviatilis",27
"1789",591,223,"12/4/1996 00:00:00",42,85,4.2,20,"Gobio gobio",15
"16945",826,2079,"4/9/1991 00:00:00",68,51.12,4.7,18.4,"Phoxinus phoxinus",47
"34592",1604,4170,"26/9/1990 00:00:00",33,10,7.2,17.3,"Rutilus rutilus",72
"20103",883,2533,"29/8/1994 00:00:00",75,19.93,5.7,18.3,"Salmo trutta fario",1
"8596",619,1021,"27/5/1998 00:00:00",38,489,4.4,20.1,"Cyprinus carpio",1
"14279",661,1710,"21/6/2007 00:00:00",29,411,4.5,20.4,"Barbus barbus",1
"7322",661,846,"21/9/1994 00:00:00",29,411,4.5,20.4,"Anguilla anguilla",1
"14011",178,1679,"29/6/2006 00:00:00",41,10,3.9,18.9,"Lampetra planeri",1
"2179",182,263,"5/9/1996 00:00:00",16,135,4.3,18.7,"Rhodeus amarus",2
"6739",395,784,"15/4/1992 00:00:00",NA,NA,3.7,19.5,"Tinca tinca",6
"24603",859,3160,"15/10/1998 00:00:00",22,80,4.3,19.3,"Rutilus rutilus",16
