"","st_id","op_id","op_date","st_alt","st_dist_source","st_t_jan","st_t_jui","sp_nom","sp_effectif"
"38068",1527,4646,"14/11/1988 00:00:00",100,9,6.4,18.1,"Gobio gobio",83
"23971",1164,3069,"10/10/1997 00:00:00",17,35,4.7,18.1,"Rutilus rutilus",5
"36784",1847,4490,"10/9/1992 00:00:00",152,8,6.4,17.6,"Salmo trutta fario",33
"35358",1637,4297,"16/8/1989 00:00:00",82,8,6.8,17.3,"Salmo trutta fario",61
"32688",1410,3972,"8/9/2004 00:00:00",135,14,4.7,18.9,"Barbatula barbatula",87
"31927",1266,3912,"31/8/2000 00:00:00",10,24,5.9,20.1,"Ameiurus melas",2
"39270",1500,4800,"11/9/1996 00:00:00",37,28,7,18.1,"Barbatula barbatula",443
"23724",1111,3026,"7/11/1995 00:00:00",56,27,4.1,18.6,"Salmo trutta fario",23
"22131",877,2805,"8/10/2003 00:00:00",5,52.03,6,17.7,"Leucaspius delineatus",12
"24175",1106,3104,"12/9/2001 00:00:00",59,19.81,4.3,18.2,"Gasterosteus aculeatus",2
"19314",966,2433,"24/10/1991 00:00:00",216,4,4.2,18.1,"Gobio gobio",24
"11587",179,1404,"15/6/2004 00:00:00",46,63,3.9,18.8,"Gymnocephalus cernuus",1
"7892",662,916,"9/9/1997 00:00:00",35,493,4.5,20.3,"Anguilla anguilla",16
"12473",182,1497,"24/6/2004 00:00:00",16,135,4.3,18.7,"Squalius cephalus",1
"27669",1436,3537,"14/10/1999 00:00:00",75,33,4.6,19.7,"Rutilus rutilus",34
"35264",1570,4275,"19/10/1987 00:00:00",38,9,7.1,17.3,"Rutilus rutilus",41
"34885",1697,4214,"14/6/1983 00:00:00",34,19,6.2,19.2,"Cyprinus carpio",1
"6661",392,771,"4/7/1990 00:00:00",NA,NA,3.7,19.1,"Pungitius pungitius",2
"4614",454,535,"1/6/1995 00:00:00",41,454,4,19.7,"Rutilus rutilus",226
"10877",244,1323,"20/4/1995 00:00:00",42,294,4,19.6,"Anguilla anguilla",2
"2087",179,252,"13/9/1994 00:00:00",46,63,3.9,18.8,"Gobio gobio",19
"38674",1500,4727,"24/9/1992 00:00:00",37,28,7,18.1,"Leuciscus leuciscus",49
"37650",1833,4590,"7/10/1992 00:00:00",45,4.38,7,18.5,"Phoxinus phoxinus",47
"36412",1826,4445,"13/9/1985 00:00:00",65,7,6.7,18.4,"Gobio gobio",66
"36087",1678,4406,"28/9/1993 00:00:00",117,10,5,18.7,"Gobio gobio",25
"37940",1503,4628,"22/10/1984 00:00:00",86,20,6.6,17.6,"Gobio gobio",10
"13879",245,1655,"20/6/2006 00:00:00",41,52,3.8,19.3,"Lepomis gibbosus",5
"17079",828,2102,"17/9/1997 00:00:00",28,27.16,5.5,18.4,"Cottus gobio",78
"8785",662,1039,"21/6/2001 00:00:00",35,493,4.5,20.3,"Alburnus alburnus",103
"22571",11144,2862,"26/6/2006 00:00:00",3,54.2,6,17.7,"Scardinius erythrophthalmus",52
"5685",368,655,"5/9/1995 00:00:00",34,347,3.9,19.4,"Perca fluviatilis",17
"8842",615,1044,"27/6/2001 00:00:00",23,460,4.6,20.3,"Scardinius erythrophthalmus",3
"4144",51,484,"25/10/2000 00:00:00",132,NA,3,18.5,"Carassius carassius",19
"31790",1369,3900,"19/5/1994 00:00:00",34,40,5.7,20.4,"Leucaspius delineatus",3
"33804",1437,4067,"19/9/2007 00:00:00",68,125,5,19.3,"Barbus barbus",14
"19973",1006,2518,"3/9/1997 00:00:00",49,10.11,5.7,17.3,"Barbatula barbatula",81
"24727",858,3172,"26/9/2000 00:00:00",141,44,3.9,18.6,"Lampetra planeri",4
"16813",742,2060,"23/9/1988 00:00:00",37,22,5.4,18.4,"Anguilla anguilla",205
"7490",616,864,"11/9/1996 00:00:00",33,500,4.5,20.2,"Esox lucius",2
"12206",505,1471,"22/6/2004 00:00:00",NA,NA,3.8,19.6,"Anguilla anguilla",7
"22080",979,2800,"10/9/2003 00:00:00",215,19.7,3.7,18.2,"Thymallus thymallus",5
"25889",855,3328,"27/9/2006 00:00:00",123,39.89,4.2,18.3,"Squalius cephalus",23
"25147",846,3229,"14/6/1984 00:00:00",NA,51,4.7,19.5,"Gobio gobio",15
"8883",616,1049,"25/4/2002 00:00:00",33,500,4.5,20.2,"Squalius cephalus",14
"12401",4,1489,"8/6/2004 00:00:00",70,26,3.5,18.7,"Esox lucius",2
"16261",808,1981,"18/9/1985 00:00:00",8,56.8,6,18.7,"Abramis brama",2
"12523",591,1505,"23/6/2004 00:00:00",42,85,4.2,20,"Rhodeus amarus",1
"19006",1026,2387,"14/9/1988 00:00:00",265,6.1,3.7,18,"Cottus gobio",3
"22764",899,2884,"5/9/2007 00:00:00",45,29.16,5.9,18,"Barbatula barbatula",103
"22389",759,2839,"21/9/2005 00:00:00",93,40,4.5,18.5,"Lampetra planeri",6
"24085",1107,3085,"12/9/2000 00:00:00",72,14.85,4.4,18.1,"Salvelinus fontinalis",1
"24984",1163,3204,"29/10/1999 00:00:00",43,24,4.6,18.2,"Cottus gobio",76
"676",587,89,"19/4/1989 00:00:00",70,12,4,19.8,"Gobio gobio",4
"25958",780,3338,"30/9/2004 00:00:00",5,611,4.3,19,"Cyprinus carpio",2
"9915",324,1218,"9/8/1989 00:00:00",152,95,0,NA,"Cottus gobio",109
"34182",1348,4097,"16/5/2007 00:00:00",81,79,5.2,19.1,"Tinca tinca",2
"8906",614,1052,"15/5/2002 00:00:00",29,428,4.8,20.7,"Squalius cephalus",7
"10724",514,1304,"27/3/2002 00:00:00",80,13,3.9,19.6,"Rutilus rutilus",282
"11292",243,1359,"4/9/2003 00:00:00",180,30,2.7,18.5,"Barbatula barbatula",21
"12428",246,1493,"22/6/2004 00:00:00",50,76,3.5,19.3,"Anguilla anguilla",7
"4252",428,495,"15/10/1992 00:00:00",55,27,3.9,20,"Squalius cephalus",51
"12675",245,1523,"21/6/2005 00:00:00",41,52,3.8,19.3,"Anguilla anguilla",4
"39075",1742,4780,"12/10/1995 00:00:00",35,4,7.2,17.6,"Salmo trutta fario",47
"18423",956,2301,"29/10/1991 00:00:00",64,99,5.1,18.6,"Squalius cephalus",76
"13528",521,1617,"8/6/2005 00:00:00",21,492,4.3,19.6,"Ameiurus melas",1
